user_id,age,home_airport,home_city,frequent_flyer,preferred_airlines,preferred_cabin,price_sensitivity,direct_preference,max_layover_minutes,date_flexibility_days,multi_city_tendency,trip_purpose,preferred_departure,baggage_preference,seasonal_pattern,raw_history
U01,24,CPT,Cape Town,AAdvantage,AA,Business,low,strong,120,1,medium,business,morning,carry-on only,"year-round, avoids holidays","always book business, hate connections | redeyes kill my mornings, avoid if possible | aisle seat, front of cabin"
U02,53,MEX,Mexico City,none,SQ;BA,Economy,high,none,420,7,low,leisure,any,1 checked,"flexible, chases cheap fares","ok with redeye if it's cheaper | cheapest fare wins, dont care about stops | no loyalty, whatever's cheapest | booked SQ last min for a steal | took a 7hr layover in SIN to save $120"
U03,42,AMS,Amsterdam,none,KL;JL;CX,Economy,medium,strong,150,5,low,leisure,morning,2 checked + stroller,"school holidays only (jul-aug, dec)","need 2 checked bags + stroller | school breaks only so dates are fixed-ish | traveling w/ 2 kids, direct is worth paying for | prefer JL, kids fly free promo once | morning departures, kids melt down at night"
U04,51,MEL,Melbourne,none,JL,Economy,high,moderate,300,21,high,mixed,any,carry-on only,shoulder season to dodge crowds/prices,"multi-city all the time, HKG-ICN-somewhere | carry-on only, live out of a backpack | value matters but i'll pay to skip a 10hr layover"
U05,24,LIS,Lisbon,Miles & More,LH,First,none,strong,90,4,medium,leisure,any,3 checked,"peak season, comfort over cost","happy in peak season, money's not the constraint | first or business only, comfort over cost | direct whenever it exists | spa lounge, chauffeur transfer, the works"
U06,66,MAA,Chennai,none,SQ;QR,Economy,high,none,480,30,high,leisure,any,carry-on only,"summer break, rock-bottom fares","huge date flexibility, whole summer free | multi-city euro trip planned | 2 stops fine, even overnight layovers | no bags beyond a backpack | broke student, absolute cheapest only"
U07,45,DEL,Delhi,AAdvantage,AA;KE,Premium Economy,medium,moderate,240,14,medium,leisure,morning,2 checked,"avoids peak, prefers shoulder",avoid holiday crowds and prices | like KE but open to alternatives | retired so dates are flexible
U08,35,GIG,Rio de Janeiro,AAdvantage,AA;BA;NH,Business,medium,strong,100,2,high,business,evening,carry-on only,year-round weekly travel,"multi-city client hops, DXB is my connection base | evening departures after meetings | AAdvantage status, stick to alliance"
U09,59,SYD,Sydney,none,NH,Economy,medium,moderate,200,3,low,mixed,any,1 checked,"event-driven, fixed dates","flew NH to SFO for a festival last yr | moderate budget, will pay a bit for convenience | dates locked to a conference/wedding | whatever airline fits the schedule"
U10,28,FCO,Rome,none,QF,Economy,medium,strong,90,10,low,leisure,morning,1 checked,flexible but nervous about tight connections,"no loyalty yet | scared of missing connections, short layovers stress me | new to flying, want it simple and direct"
U11,26,SVO,Moscow,Miles&Smiles,TK,Business,low,strong,120,1,medium,business,morning,carry-on only,"year-round, avoids holidays","always book business, hate connections | lounge access is non-negotiable | need wifi onboard for work"
U12,63,AMS,Amsterdam,none,DL;KE,Economy,high,none,420,7,low,leisure,any,1 checked,"flexible, chases cheap fares","cheapest fare wins, dont care about stops | took a 7hr layover in FRA to save $120 | booked DL last min for a steal | ok with redeye if it's cheaper"
U13,33,SVO,Moscow,none,TG,Economy,medium,strong,150,5,low,leisure,morning,2 checked + stroller,"school holidays only (jul-aug, dec)","school breaks only so dates are fixed-ish | morning departures, kids melt down at night | traveling w/ 2 kids, direct is worth paying for"
U14,63,ICN,Seoul,AAdvantage,AA,Economy,high,moderate,300,21,high,mixed,any,carry-on only,shoulder season to dodge crowds/prices,"super flexible dates, weeks of window | value matters but i'll pay to skip a 10hr layover | did sin-bkk-bali-syd last quarter"
U15,60,GIG,Rio de Janeiro,Miles&Smiles,TK;AI,First,none,strong,90,4,medium,leisure,any,3 checked,"peak season, comfort over cost","first or business only, comfort over cost | loyal to TK, top-tier status | happy in peak season, money's not the constraint"
U16,29,GIG,Rio de Janeiro,none,SQ;CX;AA,Economy,high,none,480,30,high,leisure,any,carry-on only,"summer break, rock-bottom fares","2 stops fine, even overnight layovers | multi-city euro trip planned | broke student, absolute cheapest only | no bags beyond a backpack | huge date flexibility, whole summer free"
U17,32,FRA,Frankfurt,none,NH,Premium Economy,medium,moderate,240,14,medium,leisure,morning,2 checked,"avoids peak, prefers shoulder",one stop ok if it saves a few hundred | avoid holiday crowds and prices | retired so dates are flexible | like NH but open to alternatives | premium economy is the sweet spot for long hauls
U18,61,LHR,London,Frequent Flyer,QF;KL,Business,medium,strong,100,2,high,business,evening,carry-on only,year-round weekly travel,"evening departures after meetings | Frequent Flyer status, stick to alliance | multi-city client hops, AMS is my connection base"
U19,68,PVG,Shanghai,none,TG;NH,Economy,medium,moderate,200,3,low,mixed,any,1 checked,"event-driven, fixed dates","flew TG to SIN for a festival last yr | dates locked to a conference/wedding | one stop fine, not two | whatever airline fits the schedule | moderate budget, will pay a bit for convenience"
U20,51,IST,Istanbul,none,QR;BA;QF,Economy,medium,strong,90,10,low,leisure,morning,1 checked,flexible but nervous about tight connections,"new to flying, want it simple and direct | no loyalty yet | morning flights feel safer"
U21,61,PEK,Beijing,none,AF,Business,low,strong,120,1,medium,business,morning,carry-on only,"year-round, avoids holidays","need wifi onboard for work | redeyes kill my mornings, avoid if possible | lounge access is non-negotiable | gold w/ none, ~80 segments/yr | aisle seat, front of cabin"
U22,50,DEL,Delhi,none,SQ;QF,Economy,high,none,420,7,low,leisure,any,1 checked,"flexible, chases cheap fares","cheapest fare wins, dont care about stops | took a 7hr layover in AMS to save $120 | no loyalty, whatever's cheapest | ok with redeye if it's cheaper"
U23,47,LAX,Los Angeles,Executive Club,BA;JL;UA,Economy,medium,strong,150,5,low,leisure,morning,2 checked + stroller,"school holidays only (jul-aug, dec)","school breaks only so dates are fixed-ish | prefer UA, kids fly free promo once | traveling w/ 2 kids, direct is worth paying for | need 2 checked bags + stroller"
U24,67,LHR,London,Miles & More,LH;TG,Economy,high,moderate,300,21,high,mixed,any,carry-on only,shoulder season to dodge crowds/prices,"did sin-bkk-bali-syd last quarter | multi-city all the time, CDG-LAX-somewhere | value matters but i'll pay to skip a 10hr layover | carry-on only, live out of a backpack"
U25,35,FRA,Frankfurt,none,AF;AA,First,none,strong,90,4,medium,leisure,any,3 checked,"peak season, comfort over cost","spa lounge, chauffeur transfer, the works | happy in peak season, money's not the constraint | direct whenever it exists | loyal to AF, top-tier status | first or business only, comfort over cost"
U26,29,HKG,Hong Kong,none,BA;SQ;AF,Economy,high,none,480,30,high,leisure,any,carry-on only,"summer break, rock-bottom fares","broke student, absolute cheapest only | huge date flexibility, whole summer free | multi-city euro trip planned | 2 stops fine, even overnight layovers"
U27,49,BOM,Mumbai,none,JL,Premium Economy,medium,moderate,240,14,medium,leisure,morning,2 checked,"avoids peak, prefers shoulder",retired so dates are flexible | one stop ok if it saves a few hundred | avoid holiday crowds and prices | like JL but open to alternatives | premium economy is the sweet spot for long hauls
U28,66,DEL,Delhi,none,CX;UA,Business,medium,strong,100,2,high,business,evening,carry-on only,year-round weekly travel,"direct or single short connection max | none status, stick to alliance | evening departures after meetings | mon out fri back, every week | multi-city client hops, LAX is my connection base"
U29,35,BOM,Mumbai,none,JL;QR,Economy,medium,moderate,200,3,low,mixed,any,1 checked,"event-driven, fixed dates","flew QR to DXB for a festival last yr | moderate budget, will pay a bit for convenience | whatever airline fits the schedule | dates locked to a conference/wedding"
U30,36,AKL,Auckland,none,AI;LH,Economy,medium,strong,90,10,low,leisure,morning,1 checked,flexible but nervous about tight connections,"morning flights feel safer | scared of missing connections, short layovers stress me | no loyalty yet"
U31,56,PEK,Beijing,Frequent Flyer,QF;BA;EK,Business,low,strong,120,1,medium,business,morning,carry-on only,"year-round, avoids holidays","always book business, hate connections | lounge access is non-negotiable | need wifi onboard for work | gold w/ Frequent Flyer, ~80 segments/yr"
U32,62,PVG,Shanghai,none,AA,Economy,high,none,420,7,low,leisure,any,1 checked,"flexible, chases cheap fares","ok with redeye if it's cheaper | took a 7hr layover in NRT to save $120 | booked AA last min for a steal | cheapest fare wins, dont care about stops"
U33,53,BKK,Bangkok,Skywards,EK,Economy,medium,strong,150,5,low,leisure,morning,2 checked + stroller,"school holidays only (jul-aug, dec)","school breaks only so dates are fixed-ish | traveling w/ 2 kids, direct is worth paying for | need 2 checked bags + stroller"
U34,35,DEL,Delhi,none,AF;EK,Economy,high,moderate,300,21,high,mixed,any,carry-on only,shoulder season to dodge crowds/prices,"did sin-bkk-bali-syd last quarter | multi-city all the time, CDG-ICN-somewhere | carry-on only, live out of a backpack"
U35,40,DEL,Delhi,Frequent Flyer,QF;BA;DL,First,none,strong,90,4,medium,leisure,any,3 checked,"peak season, comfort over cost","first or business only, comfort over cost | happy in peak season, money's not the constraint | direct whenever it exists | loyal to DL, top-tier status"
U36,48,BOM,Mumbai,none,KL;NH;EK,Economy,high,none,480,30,high,leisure,any,carry-on only,"summer break, rock-bottom fares","huge date flexibility, whole summer free | broke student, absolute cheapest only | no bags beyond a backpack | multi-city euro trip planned"
U37,23,AMS,Amsterdam,Frequent Flyer,QF;KL;SQ,Premium Economy,medium,moderate,240,14,medium,leisure,morning,2 checked,"avoids peak, prefers shoulder",retired so dates are flexible | avoid holiday crowds and prices | premium economy is the sweet spot for long hauls
U38,29,HKG,Hong Kong,none,TG,Business,medium,strong,100,2,high,business,evening,carry-on only,year-round weekly travel,"evening departures after meetings | none status, stick to alliance | mon out fri back, every week"
U39,31,DXB,Dubai,SkyMiles,DL;AA,Economy,medium,moderate,200,3,low,mixed,any,1 checked,"event-driven, fixed dates","one stop fine, not two | whatever airline fits the schedule | flew AA to ICN for a festival last yr | moderate budget, will pay a bit for convenience | dates locked to a conference/wedding"
U40,59,DXB,Dubai,none,KL;AF;TK,Economy,medium,strong,90,10,low,leisure,morning,1 checked,flexible but nervous about tight connections,"flexible dates, just want easy | new to flying, want it simple and direct | scared of missing connections, short layovers stress me | morning flights feel safer"
U41,58,DOH,Doha,none,AF,Business,low,strong,120,1,medium,business,morning,carry-on only,"year-round, avoids holidays","lounge access is non-negotiable | gold w/ none, ~80 segments/yr | need wifi onboard for work | always book business, hate connections"
U42,35,FRA,Frankfurt,none,KL;KE;QR,Economy,high,none,420,7,low,leisure,any,1 checked,"flexible, chases cheap fares",ok with redeye if it's cheaper | booked KE last min for a steal | took a 7hr layover in LAX to save $120
U43,27,FCO,Rome,Executive Club,BA;KL;KE,Economy,medium,strong,150,5,low,leisure,morning,2 checked + stroller,"school holidays only (jul-aug, dec)","prefer BA, kids fly free promo once | traveling w/ 2 kids, direct is worth paying for | morning departures, kids melt down at night | school breaks only so dates are fixed-ish | need 2 checked bags + stroller"
U44,52,ICN,Seoul,KrisFlyer,SQ,Economy,high,moderate,300,21,high,mixed,any,carry-on only,shoulder season to dodge crowds/prices,"did sin-bkk-bali-syd last quarter | multi-city all the time, DXB-SIN-somewhere | super flexible dates, weeks of window | value matters but i'll pay to skip a 10hr layover"
U45,38,SFO,San Francisco,none,AF;LH,First,none,strong,90,4,medium,leisure,any,3 checked,"peak season, comfort over cost","spa lounge, chauffeur transfer, the works | direct whenever it exists | first or business only, comfort over cost | happy in peak season, money's not the constraint"
U46,65,LHR,London,none,QR,Economy,high,none,480,30,high,leisure,any,carry-on only,"summer break, rock-bottom fares","multi-city euro trip planned | no bags beyond a backpack | broke student, absolute cheapest only | huge date flexibility, whole summer free | 2 stops fine, even overnight layovers"
U47,59,ORD,Chicago,Maharaja Club,AI,Premium Economy,medium,moderate,240,14,medium,leisure,morning,2 checked,"avoids peak, prefers shoulder",premium economy is the sweet spot for long hauls | one stop ok if it saves a few hundred | like AI but open to alternatives
U48,52,MEX,Mexico City,none,CX;AI;SQ,Business,medium,strong,100,2,high,business,evening,carry-on only,year-round weekly travel,"multi-city client hops, FRA is my connection base | direct or single short connection max | evening departures after meetings | mon out fri back, every week | none status, stick to alliance"
U49,50,DEL,Delhi,Executive Club,BA;EK;UA,Economy,medium,moderate,200,3,low,mixed,any,1 checked,"event-driven, fixed dates","moderate budget, will pay a bit for convenience | dates locked to a conference/wedding | whatever airline fits the schedule | flew UA to IST for a festival last yr | one stop fine, not two"
U50,35,SIN,Singapore,none,LH;UA;TK,Economy,medium,strong,90,10,low,leisure,morning,1 checked,flexible but nervous about tight connections,"scared of missing connections, short layovers stress me | new to flying, want it simple and direct | flexible dates, just want easy | no loyalty yet"
